case_id,inner,time,method,interface_points_count,main_component_points_count,number_of_components,H_median,H_mean,H_p95,H_p99,H_max_after_ROI_filter,interface_roughness_rms,interface_roughness_peak_to_peak,max_slope,pseudo_spike_old_flag,pseudo_spike_ROI_flag,outer_wall_contamination_flag,top_boundary_contamination_flag,ring_boundary_contamination_flag,isolated_component_count,extraction_status,failure_reason,H_raw_global_old,H_robust_old,diagnostic_only
D1,1,0.0,M0_old_original,120,120,1,-1.9262474571340158e-07,5.839852067866965e-05,0.00014180874815753941,0.0004818856086869959,0.007617299319330583,0.0007057498679779764,0.008525252623856602,34.44587668307642,True,True,True,False,False,0,PASS,,0.007617299319330583,-1.9262474571340158e-07,
D1,1,0.0,M1_ROI_main_free_surface,117,117,1,-1.278300511427954e-06,-2.1577721191534186e-05,0.00011056319931343799,0.00016571892440196147,0.000532905715992124,0.00012170052308642787,0.0012005165932410062,5.715217663350906,False,True,False,False,False,0,PASS,,,,
D1,1,0.0,M2_center_window,33,33,1,-1.2226562780157763e-05,-1.2119774443211219e-05,4.6536782037202414e-05,6.342544600383666e-05,7.060940387782052e-05,3.741306773190748e-05,0.0001579866143356848,2.948593807682002,False,True,False,False,False,0,PASS,,,,
D1,1,0.0,M3_farfield_reference,66,66,1,6.515844747032322e-07,1.5986451262953453e-05,0.00023291174427136498,0.0004319896095731694,0.0005724351597424797,0.00013086614171042336,0.0008982916050682206,5.851225038233895,False,True,False,False,False,0,PASS,,,,
D1,1,0.0,M4_smoothed_main_interface,117,117,1,-7.201858482245756e-07,-6.570742158764758e-06,3.496244314268388e-05,8.436339082228791e-05,8.950982807697338e-05,3.2803242687169966e-05,0.00018426800760465504,0.3995787472391321,False,False,False,False,False,0,PASS,,,,True
D1,2,0.00010000000000000002,M0_old_original,120,120,1,-2.0711568082146887e-07,5.8406488783576354e-05,0.00014129608798751046,0.0004818851402306671,0.007612210397762442,0.000705267602837703,0.008519473265137665,34.42285341056025,True,True,True,False,False,0,PASS,,0.007612210397762442,-2.0711568082146887e-07,
D1,2,0.00010000000000000002,M1_ROI_main_free_surface,117,117,1,-1.2776942933723277e-06,-2.152545387532483e-05,0.00011002607057471277,0.000165210004127769,0.0005319775551177468,0.00012144398909902273,0.0011983217686669637,5.707223477873868,False,True,False,False,False,0,PASS,,,,
D1,2,0.00010000000000000002,M2_center_window,33,33,1,-1.2301606014778008e-05,-1.2082205768195096e-05,4.637026358753794e-05,6.322743766448864e-05,7.049029840238048e-05,3.727943478998988e-05,0.0001574265276179026,2.9381405915360537,False,True,False,False,False,0,PASS,,,,
D1,2,0.00010000000000000002,M3_farfield_reference,66,66,1,6.536725074191734e-07,1.59619353052748e-05,0.00023249058896178228,0.00043132706489373303,0.0005716260465710426,0.00013054899602778675,0.0008970403198896768,5.839789340827201,False,True,False,False,False,0,PASS,,,,
D1,2,0.00010000000000000002,M4_smoothed_main_interface,117,117,1,-7.082407960410985e-07,-6.544492719072697e-06,3.4742493739324044e-05,8.399903933999131e-05,8.910863412453359e-05,3.2674812200399864e-05,0.00018352632596671086,0.3980074811780258,False,False,False,False,False,0,PASS,,,,True
D1,3,0.0002,M0_old_original,120,120,1,-1.8192360831254244e-07,5.841708007447266e-05,0.00014065143950926882,0.0004818846711616558,0.007607006292401959,0.0007047695902797165,0.008513591722315361,34.3992906661097,True,True,True,False,False,0,PASS,,0.007607006292401959,-1.8192360831254244e-07,
D1,3,0.0002,M1_ROI_main_free_surface,117,117,1,-1.2646649906701752e-06,-2.1465235130158557e-05,0.00010943591623810806,0.00016464781152367971,0.0005310751839491274,0.00012117537311764964,0.001196086152047405,5.6988604483427165,False,True,False,False,False,0,PASS,,,,
D1,3,0.0002,M2_center_window,33,33,1,-1.2403551388542378e-05,-1.203712753241846e-05,4.6216983741385416e-05,6.29875632749199e-05,7.033626312382096e-05,3.713261900937769e-05,0.00015674997511005745,2.925513708280202,False,True,False,False,False,0,PASS,,,,
D1,3,0.0002,M3_farfield_reference,66,66,1,6.590918491084462e-07,1.5940273583292817e-05,0.00023207018643342444,0.0004305966916415227,0.0005708399182736213,0.00013020575784776582,0.000895866411852979,5.827974648004564,False,True,False,False,False,0,PASS,,,,
D1,3,0.0002,M4_smoothed_main_interface,117,117,1,-6.994636600854893e-07,-6.50721159821149e-06,3.4508057011638834e-05,8.358120312675233e-05,8.864516949172804e-05,3.253417463429981e-05,0.0001827195261167496,0.3961050251969437,False,False,False,False,False,0,PASS,,,,True
D1,4,0.00030000000000000003,M0_old_original,120,120,1,-1.725854563604316e-07,5.842906972764299e-05,0.00013989059382937436,0.00048188420784022465,0.007601708893832612,0.0007042628112816021,0.008507616718278743,34.375291618859,True,True,True,False,False,0,PASS,,0.007601708893832612,-1.725854563604316e-07,
D1,4,0.00030000000000000003,M1_ROI_main_free_surface,117,117,1,-1.2435812762248005e-06,-2.139889924689985e-05,0.0001088006642368352,0.00016404811677481247,0.0005301884177359644,0.000120896952166856,0.0011938122245470691,5.690224103431989,False,True,False,False,False,0,PASS,,,,
D1,4,0.00030000000000000003,M2_center_window,33,33,1,-1.2521417649702241e-05,-1.1987165661252957e-05,4.6072165470534995e-05,6.273241065805759e-05,7.017693412637047e-05,3.6980671351506046e-05,0.00015600751859073784,2.9116568210714706,False,True,False,False,False,0,PASS,,,,
D1,4,0.00030000000000000003,M3_farfield_reference,66,66,1,6.67683689824656e-07,1.5920943262850014e-05,0.00023163655132584047,0.0004297991260126584,0.0005700681046496574,0.00012983899236587907,0.0008947430454042443,5.8158034700389925,False,True,False,False,False,0,PASS,,,,
D1,4,0.00030000000000000003,M4_smoothed_main_interface,117,117,1,-6.911648222041543e-07,-6.46185257942685e-06,3.4260820917035806e-05,8.312208285606699e-05,8.813228842899929e-05,3.2385594111432735e-05,0.00018187347625055688,0.3939462324133436,False,False,False,False,False,0,PASS,,,,True
D1,5,0.0004,M0_old_original,120,120,1,-1.766682887349041e-07,5.844215462950564e-05,0.00013904508026823617,0.0004818837465211436,0.0075963454113703085,0.000703750028396193,0.008501575757426537,34.3509839345922,True,True,True,False,False,0,PASS,,0.0075963454113703085,-1.766682887349041e-07,
D1,5,0.0004,M1_ROI_main_free_surface,117,117,1,-1.15018514003476e-06,-2.1328074582886948e-05,0.00010813279079346348,0.00016342128036274817,0.0005293137473236152,0.00012062298182760198,0.0011915135752441387,5.681400682025269,False,True,False,False,False,0,PASS,,,,
D1,5,0.0004,M2_center_window,33,33,1,-1.2650736546873523e-05,-1.1933774589835848e-05,4.593485313388904e-05,6.24679895306074e-05,7.001471638092222e-05,3.682603440792566e-05,0.0001552187759325421,2.8969360693951987,False,True,False,False,False,0,PASS,,,,
D1,5,0.0004,M3_farfield_reference,66,66,1,6.784796289096911e-07,1.5903308327424373e-05,0.00023119304103366283,0.0004289527813140439,0.0005693072554581215,0.0001294554752758807,0.000893657200467693,5.8033777776252755,False,True,False,False,False,0,PASS,,,,
D1,5,0.0004,M4_smoothed_main_interface,117,117,1,-6.538466421693041e-07,-6.410891243559115e-06,3.400424021266315e-05,8.263262779118279e-05,8.758298547702811e-05,3.2236725754415964e-05,0.00018099810398704828,0.3916011929754143,False,False,False,False,False,0,PASS,,,,True
D1,6,0.0005,M0_old_original,120,120,1,-1.854066356805033e-07,5.845656268376746e-05,0.00013810076212868012,0.00048188328122375295,0.007590900765876348,0.0007032289851319008,0.00849545219762423,34.326297485261065,True,True,True,False,False,0,PASS,,0.007590900765876348,-1.854066356805033e-07,
D1,6,0.0005,M1_ROI_main_free_surface,117,117,1,-9.851258106115471e-07,-2.1251799782745236e-05,0.00010742807673959047,0.00016276332735970454,0.0005284514564720843,0.00012035212743779147,0.0011891806151264521,5.67236578716116,False,True,False,False,False,0,PASS,,,,
D1,6,0.0005,M2_center_window,33,33,1,-1.279208428708287e-05,-1.1875670850103798e-05,4.580581040009434e-05,6.219402305332549e-05,6.98505677135618e-05,3.6669096119644413e-05,0.00015437798904653687,2.881243986771112,False,True,False,False,False,0,PASS,,,,
D1,6,0.0005,M3_farfield_reference,66,66,1,6.918377118654356e-07,1.5887741580476855e-05,0.0002307375204673648,0.0004280488573160335,0.0005685576623258759,0.00012905233946158116,0.0008926108789958991,5.790645547060349,False,True,False,False,False,0,PASS,,,,
D1,6,0.0005,M4_smoothed_main_interface,117,117,1,-6.05358535736946e-07,-6.352988112529933e-06,3.3737568664059844e-05,8.210888768946053e-05,8.699236731552498e-05,3.208400593324001e-05,0.00018009000060913356,0.3890426555223584,False,False,False,False,False,0,PASS,,,,True
